round,FP,TN,fpr
1,26,4,0.8666666666666667
2,28,2,0.9333333333333333
3,26,4,0.8666666666666667
4,20,10,0.6666666666666666
5,16,14,0.5333333333333333
6,16,14,0.5333333333333333
7,13,17,0.43333333333333335
8,14,16,0.4666666666666667
9,12,18,0.4
10,13,17,0.43333333333333335
11,12,18,0.4
12,11,19,0.36666666666666664
13,11,19,0.36666666666666664
14,10,20,0.3333333333333333
15,9,21,0.3
16,9,21,0.3
17,9,21,0.3
18,9,21,0.3
19,9,21,0.3
20,9,21,0.3
21,8,22,0.26666666666666666
22,8,22,0.26666666666666666
23,8,22,0.26666666666666666
24,8,22,0.26666666666666666
25,8,22,0.26666666666666666
26,8,22,0.26666666666666666
27,7,23,0.23333333333333334
28,7,23,0.23333333333333334
29,7,23,0.23333333333333334
30,7,23,0.23333333333333334
